,0
2965,224.0
2966,114.0
2967,186.0
2968,125.0
2969,70.0
2970,132.0
2971,135.0
2972,166.0
2973,207.0
2974,245.0
2975,209.0
2976,246.0
2977,73.0
2978,184.0
2979,48.0
2980,173.0
2981,139.0
2982,304.0
2983,219.0
2984,144.0
2985,376.0
2986,200.0
2987,263.0
2988,360.0
2989,232.0
2990,318.0
2991,345.0
2992,266.0
2993,741.0
2994,407.0
2995,625.0
2996,467.0
2997,336.0
2998,446.0
2999,194.0
3000,477.0
3001,707.0
3002,801.0
3003,669.0
3004,462.0
3005,559.0
3006,288.0
3007,1.004
3008,610.0
3009,875.0
3010,1.19
3011,769.0
3012,858.0
3013,2.041
3014,1.955
3015,1.642
3016,1.0290000000000001
3017,959.0
3018,2.975
3019,605.0
3020,685.0
3021,3.353
3022,2.742
3023,901.0
3024,911.0
3025,1.952
3026,1.0590000000000002
3027,1.433
3028,2.142
3029,1.9809999999999999
3030,2.6860000000000004
3031,1.08
3032,1.597
3033,3.1
3034,7.091
3035,4.3389999999999995
3036,2.0469999999999997
3037,2.78
3038,5.088
3039,2.552
3040,1.31
3041,5.059
3042,5.978
3043,3.219
3044,1.656
3045,3.4539999999999997
3046,3.088
3047,2.093
3048,4.697
3049,1.093
3050,1.3630000000000002
3051,1.954
3052,528.0
3053,4.788
3054,5.391
3055,2.736
3056,6.546
3057,616.0
3058,3.467
3059,3.787
3060,1.013
3061,2.048
3062,1.206
3063,3.97
3064,1.2209999999999999
3065,4.735
3066,3.708
3067,948.0
3068,3.062
3069,32.0
3070,271.0
3071,43.0
3072,62.0
3073,417.0
3074,399.0
3075,914.0
3076,422.0
3077,59.0
3078,1.305
3079,892.0
3080,246.0
3081,82.0
3082,153.0
3083,220.0
3084,277.0
3085,398.0
3086,1.453
3087,126.0
3088,136.0
3089,21.0
3090,32.0
3091,14.0
3092,44.0
3093,225.0
3094,225.0
3095,125.0
3096,65.0
3097,32.0
3098,95.0
3099,25.0
3100,108.0
3101,105.0
3102,43.0
3103,189.0
3104,98.0
3105,155.0
3106,295.0
3107,91.0
3108,0.0
3109,87.0
3110,30.0
3111,34.0
3112,144.0
3113,900.0
3114,579.0
3115,1.768
3116,403.0
3117,467.0
3118,131.0
3119,241.0
3120,437.0
3121,108.0
3122,392.0
3123,167.0
3124,251.0
3125,725.0
3126,1.3219999999999998
3127,219.0
3128,0.0
3129,285.0
3130,29.0
3131,16.0
3132,120.0
3133,34.0
3134,20.0
3135,85.0
3136,49.0
3137,23.0
3138,54.0
3139,15.0
3140,102.0
3141,13.0
3142,63.0
3143,30.0
3144,37.0
3145,108.0
3146,430.0
3147,14.0
3148,0.0
3149,7.0
3150,181.0
3151,0.0
3152,14.0
3153,27.0
3154,22.0
3155,21.0
3156,10.0
3157,6.0
3158,4.0
3159,4.0
3160,110.0
3161,21.0
3162,30.0
3163,19.0
3164,34.0
3165,61.0
3166,81.0
3167,42.0
3168,0.0
3169,6.0
3170,40.0
3171,0.0
3172,11.0
3173,14.0
3174,23.0
3175,14.0
3176,2.0
3177,0.0
3178,7.0
3179,8.0
3180,22.0
3181,10.0
3182,11.0
3183,20.0
3184,27.0
3185,27.0
3186,66.0
3187,45.0
3188,0.0
3189,4.0
3190,12.0
3191,7.0
3192,18.0
3193,3.0
3194,44.0
3195,37.0
3196,0.0
3197,9.0
3198,0.0
3199,7.0
3200,57.0
3201,16.0
3202,59.0
3203,42.0
3204,70.0
3205,95.0
3206,154.0
3207,114.0
3208,58.0
3209,37.0
3210,59.0
3211,42.0
3212,149.0
3213,64.0
3214,340.0
3215,304.0
3216,78.0
3217,129.0
3218,48.0
3219,38.0
3220,94.0
3221,105.0
3222,183.0
3223,173.0
3224,319.0
3225,265.0
3226,502.0
3227,679.0
3228,638.0
3229,982.0
3230,426.0
3231,708.0
3232,772.0
3233,1.571
3234,4.436
3235,4.364
3236,615.0
3237,476.0
3238,971.0
3239,397.0
3240,1.432
3241,632.0
3242,661.0
3243,447.0
3244,825.0
3245,906.0
3246,1.579
3247,4.985
3248,6.815
3249,6.178
3250,5.484
3251,9.043
3252,15.664000000000001
3253,6.255
3254,12.812000000000001
3255,13.055
3256,7.575
3257,14.352
3258,4.435
3259,3.859
3260,18.13
3261,2.195
3262,6.9639999999999995
3263,2.161
3264,8.555
3265,7.912999999999999
3266,4.863
3267,11.962
3268,6.237
3269,4.419
3270,2.569
3271,6.138999999999999
3272,5.609
3273,8.447000000000001
3274,9.471
3275,9.032
3276,8.372
3277,14.59
3278,6.294
3279,6.051
3280,10.81
3281,5.185
3282,6.87
3283,3.36
3284,6.787000000000001
3285,11.068
3286,3.9530000000000003
3287,25.004
3288,3.665
3289,5.026
3290,4.313
3291,5.096
3292,5.189
3293,3.803
3294,4.726
3295,5.083
